recv_ts,node,ts_ms,active_protocol,wifi_rssi,wifi_loss,ble_rssi,lora_rssi,lora_snr,lora_loss,rtt_ms
1785637368.7533193,a,1785637368753,0,-59.487353229662105,0.01708932170548875,-73.86339841860861,-89.32969984114013,5.46758845819148,0.010878402409913586,8
1785637368.7533193,b,1785637368753,0,-62.49477071862914,0.030584297615565956,-72.85507615698482,-91.16808783577832,6.755960071479483,0.021712125129547795,7
1785637369.0212276,a,1785637369021,0,-57.962964367915596,0.037954441372798395,-73.1852128875394,-89.26252340884015,7.418011710040416,0.0,4
1785637369.0212276,b,1785637369021,0,-59.857479502898535,0.0,-73.13446756628576,-89.18790048726501,7.96346389801168,0.010759570177032317,5
1785637369.2739437,b,1785637369273,0,-60.827102514708656,0.04037598975715903,-69.18729965312339,-90.05652094418544,6.221674957651757,0.010895883598042626,5
1785637369.2739437,a,1785637369273,0,-61.520256060444915,0.05130640292231818,-70.16496374932474,-91.13196208895144,5.708650605998443,0.015643642051121027,5
1785637369.5122979,a,1785637369512,0,-61.86304011579611,0.029434150969820303,-66.26558183884171,-89.90460398579792,7.9209574101073486,0.0018920694666678152,7
1785637369.5122979,b,1785637369512,0,-61.4531593542497,0.026503079159540182,-71.06238428235227,-89.88817587478789,6.69803106422354,0.015601588597388341,5
1785637369.78299,a,1785637369782,0,-62.59293210758702,0.047030577289807654,-73.41246298672347,-89.15379774358453,7.333863494355686,0.02644705140807245,9
1785637369.78299,b,1785637369782,0,-63.85744005703657,0.018763437314031434,-72.54242260014672,-89.87683044730045,7.3052587428881886,0.02817312015721069,4
1785637370.0330708,b,1785637370033,0,-62.10679796927377,0.017236683052992027,-74.34241686242923,-90.26631063274544,7.890589675005489,0.020058950592897473,7
1785637370.0330708,a,1785637370033,0,-62.691950642376064,0.0663415485300658,-66.1678470097352,-91.66471642667008,7.456314659857921,0.02406349179796139,6
1785637370.269836,b,1785637370269,0,-60.68764441638395,0.03795819671781185,-70.91007509982154,-91.51438089409629,6.562734325214062,0.01975118831630793,6
1785637370.269836,a,1785637370269,0,-64.50885055897696,0.0,-71.169084379833,-89.08900028613832,6.242383329999079,0.010450534086536512,8
1785637370.5424893,a,1785637370542,0,-61.27579382814139,0.018204800676361866,-69.47177155350542,-89.8629799046162,8.120485169355026,0.016882327095599538,7
1785637370.5424893,b,1785637370542,0,-61.4627112683749,0.04464221211894956,-71.6871318995082,-90.21679340102821,7.580974012817833,0.02889196178419383,9
1785637370.7969737,b,1785637370796,0,-60.003264568881576,0.054059128233934176,-71.42891947662521,-92.53820487666499,7.235358410939092,0.013320627020709715,7
1785637370.7969737,a,1785637370796,0,-59.7888179040271,0.022315130692071743,-71.22761787060281,-90.4844461933198,6.215608354679246,0.009604598494596198,8
1785637371.0669615,b,1785637371066,0,-60.75487384902368,0.05043362544856541,-70.72629194979535,-87.7859448519802,8.119928800803335,0.020817229637394498,4
1785637371.0669615,a,1785637371066,0,-61.50060330533821,0.0,-70.01016785780531,-89.95043684500372,4.94258171464014,0.0,6
1785637371.336424,a,1785637371336,0,-57.87194371518523,0.02918638502285358,-67.71915025696858,-85.1120162478999,6.98134001821048,0.002243030588135993,6
1785637371.336424,b,1785637371336,0,-59.74531458650823,0.023155982345779855,-69.56967523751636,-90.48173295216785,8.648288662279104,0.025042185195536474,8
1785637371.5574734,a,1785637371557,0,-56.963302287776166,0.04130679290914256,-68.89273446566106,-86.91275466433832,5.2089085849664585,0.006511871234830439,7
1785637371.5574734,b,1785637371557,0,-57.062428081133405,0.047082539995586745,-74.60140395841114,-90.41813744870817,5.685790538272896,0.025411780499544748,4
1785637371.8279479,b,1785637371827,0,-59.820831763508664,0.02770186374020938,-68.72727490021319,-88.14157498453946,6.551025142148336,0.026662302154813543,6
1785637371.8279479,a,1785637371827,0,-60.42712051786969,0.06731689183414398,-69.94619078088736,-90.82532972908312,7.64888352984096,0.015502471397574484,7
1785637372.0811603,a,1785637372081,0,-62.66575128002906,0.03167649575244656,-72.68021114760828,-89.20227717056382,8.073002842435493,0.009449585880838038,5
1785637372.0823789,b,1785637372082,0,-63.59154700586267,0.03720705796677526,-71.00989094729832,-91.41792322369159,6.268719273982849,0.01222010590421914,4
1785637372.3341517,a,1785637372334,0,-64.34842626380498,0.0,-68.26603179931072,-91.26701069542762,7.7824638667864985,0.007252968043568435,8
1785637372.3341517,b,1785637372334,0,-61.9988862803464,0.037724604111354226,-72.26639661205017,-90.04486538522359,6.266660745233778,0.00995654292209043,10
1785637372.583096,b,1785637372583,0,-64.23666901083095,0.031978849096178805,-72.99157293414582,-91.00106160832509,6.97712877700763,0.009552708067005238,9
1785637372.583096,a,1785637372583,0,-57.58450522524658,0.025314415809379626,-72.02074410684767,-90.61795124280026,5.478624302290207,0.018401969298070753,9
1785637372.8446844,a,1785637372844,0,-61.299594901140935,0.0416818984209979,-73.24870035584924,-91.62083313301692,6.939034313555196,0.010841082308802165,8
1785637372.8446844,b,1785637372844,0,-61.750887162130255,0.04817512857428768,-72.98340363611078,-91.8073641939426,6.318981917211057,0.007038435931284184,8
1785637373.0885873,a,1785637373088,0,-61.25557128619607,0.036568111316564914,-68.54909107035543,-92.71385593859132,6.9844953037193145,0.0016606407776509433,5
1785637373.0885873,b,1785637373088,0,-59.8083757314429,0.044444350140802925,-71.3196675953083,-92.88722050319146,5.939533869448825,0.013726365056388008,5
1785637373.3483925,b,1785637373348,0,-59.81824597229151,0.059498418099038455,-73.58509049508805,-89.27376051749239,5.621138304174479,0.010604332669962201,4
1785637373.3483925,a,1785637373348,0,-62.133373835126555,0.013316405930697918,-71.73136199998079,-90.74087913004186,6.138292170743139,0.018616306809282973,5
1785637373.5909352,a,1785637373590,0,-60.49204465327681,0.026447353820250298,-71.48292648163863,-93.88368368847304,6.919177041028597,0.019642566356997106,6
1785637373.5909352,b,1785637373590,0,-62.164217325815734,0.03263678969647967,-70.76959423015117,-94.29750726904965,7.18237268251332,0.018357671439404186,6
1785637373.8511844,b,1785637373851,0,-63.49333021440563,0.0762827809113291,-71.83799198007524,-91.07999241739299,6.838306973953489,0.015541038543154253,10
1785637373.8511844,a,1785637373851,0,-61.377967057673104,0.06526064105858317,-68.16024191669518,-90.20425060494975,5.519271623570026,0.02242313873488199,5
1785637374.1086562,b,1785637374108,0,-62.0669735365387,0.02853699966832711,-72.13357116181042,-90.2367630623232,6.766702874118746,0.00607794738084942,5
1785637374.1086562,a,1785637374108,0,-62.968984498486954,0.04984938259135737,-70.75136218076275,-89.13865015647204,5.199444977361201,0.04332189011543862,8
1785637374.3663814,a,1785637374366,0,-63.73541359138406,0.011158754236306391,-70.62908021464752,-89.82409299121028,6.152481216387256,0.0,6
1785637374.3663814,b,1785637374366,0,-62.3784966177391,0.0733293829379848,-69.6325203723285,-89.02244114926387,6.518064277042075,0.006961920938232426,6
1785637374.6102705,b,1785637374610,0,-64.88774515146953,0.06442743549431476,-72.15630257758966,-89.9632017523981,9.00731947582583,0.02493701641657565,7
1785637374.6102705,a,1785637374610,0,-59.67226660759738,0.011560021591985267,-71.56073165918966,-89.38248044597388,5.503686365422909,0.016957761367489298,7
1785637374.8698564,b,1785637374869,0,-67.36097399219736,0.09410717167685617,-72.10434556543467,-92.397408506464,6.5699850760630465,0.028516488016042923,6
1785637374.8698564,a,1785637374869,0,-60.74817032287971,0.0,-73.04947921684972,-90.11572193691423,8.962810738954259,0.01076542681560609,10
1785637375.1406674,a,1785637375140,0,-60.254879904918795,0.03687659723897171,-68.55413536591223,-88.1592722408627,5.252744580686093,0.014465808144112684,8
1785637375.1406674,b,1785637375140,0,-63.64859290749165,0.07108617907601084,-72.59755953354099,-91.59052965329371,7.375484317881798,0.0024791010731733676,8
1785637375.3951285,b,1785637375395,0,-63.78948966505699,0.07028380683912322,-71.85065669915959,-88.6267918311964,6.5101078226837,0.009379975362729175,5
1785637375.3951285,a,1785637375395,0,-63.905849319590004,0.07648410457614441,-69.90480479631914,-89.0416729025193,5.192850763157317,0.011188349737114812,9
1785637375.6538625,b,1785637375653,0,-61.99742072610734,0.06345423163906493,-74.88180164240838,-90.38796209761314,6.388044230762716,0.016901522107949457,8
1785637375.6538625,a,1785637375653,0,-62.672292853590456,0.004156425913507962,-71.45901017499767,-87.42359539943948,6.089612802462264,0.009912127256564556,5
1785637375.915062,a,1785637375915,0,-64.33431145444929,0.042841204093307085,-69.80770153607307,-90.02417155904779,6.760663696658169,0.020428005664816454,7
1785637375.915062,b,1785637375915,0,-64.52086806666004,0.07604343910966559,-72.0750911269901,-92.20999172187341,6.347864172398671,0.0,9
1785637376.1587763,b,1785637376158,0,-64.4322611837214,0.07500111344082844,-72.16725036002025,-91.14464162615668,3.1322557017262564,0.021340264679167137,6
1785637376.1587763,a,1785637376158,0,-58.54772036501788,0.05369036688772434,-71.41297050258505,-90.40516955157936,6.394624734999944,0.00620492181243993,5
1785637376.418552,a,1785637376418,0,-60.31328879519816,0.03920686361230782,-72.41205380273738,-88.00310145066038,6.886233422341208,0.010753782303508288,8
1785637376.418552,b,1785637376418,0,-60.783154675735226,0.05491338449613366,-73.52329941710265,-91.79657473968187,7.680825080001748,0.023490250725123833,8
1785637376.6773002,a,1785637376677,0,-63.06869322964033,0.043341967324000426,-70.08177525669034,-88.53266295731649,8.051138048078306,0.02228243059486655,8
1785637376.6773002,b,1785637376677,0,-61.04348353800251,0.06412262906692372,-70.41034740436467,-92.19619406153248,6.4142143591594705,0.0213599499095975,8
1785637376.9196942,b,1785637376919,0,-65.06930115040115,0.0295971929237175,-69.71634078065514,-92.16614099838843,7.15677089822072,0.02585651388868822,7
1785637376.9196942,a,1785637376919,0,-63.719084438570746,0.055819980062610235,-66.3053581369908,-90.06668741864223,8.26074867712455,0.027282110581716472,8
1785637377.179426,a,1785637377179,0,-59.39911843130538,0.07041436624969832,-67.89539453714453,-89.93210718635746,5.620337770190498,0.004163153824266812,6
1785637377.179426,b,1785637377179,0,-64.16665107710362,0.057077392675250985,-69.25465872412653,-91.13241976168165,7.461795184495508,0.029165876274939564,7
1785637377.422276,b,1785637377422,0,-65.01613449452853,0.09811488477385237,-74.98785919412252,-93.1396899571656,6.705264936715788,0.01820078561858308,11
1785637377.422276,a,1785637377422,0,-60.81912200184008,0.07924703552798937,-73.24735982361528,-88.23289622054781,5.176938894657919,0.025700612048601024,5
1785637377.6808572,b,1785637377680,0,-65.8667726614581,0.05158058983200383,-75.03216351240911,-90.17912267978544,5.9467073615293975,0.010263213491848434,7
1785637377.6808572,a,1785637377680,0,-59.80994789779753,0.01844274744008638,-69.24490860263023,-90.63876345327337,6.483739116589335,0.02224105251734336,8
1785637377.9234736,a,1785637377923,0,-63.944981878272735,0.07052649431904995,-75.93357762705485,-91.21046678945774,6.844062838575776,0.029574547976799752,10
